"SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","REPORTED_UNITS","ENTRY"
"8222474","18/01/2016 12:38:41 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","34.192968833"
"8234361","21/01/2016 06:34:42 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","34.166537568"
"8247918","25/01/2016 08:22:52 AM","CHOL020493","JTRENTIN","IRM001A","Cholesterol","MG_P_100G","32.10519449"
"8270605","01/02/2016 08:05:50 AM","CHOL020493","JTRENTIN","IRM001A","Cholesterol","MG_P_100G","33.796570219"
"8282150","03/02/2016 03:01:39 PM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","36.179372183"
"8300438","09/02/2016 06:38:03 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","35.103112232"
"8310518","11/02/2016 06:29:34 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","34.479545532"
"8327264","16/02/2016 10:11:17 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","34.285873477"
"8332074","17/02/2016 10:47:17 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","32.741139136"
"8348169","21/02/2016 09:45:30 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","33.688518629"
"8351988","22/02/2016 03:39:00 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","34.922616624"
"8363216","25/02/2016 08:54:06 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","36.184805575"
"8389776","03/03/2016 09:21:39 AM","CHOL020493","CCULL","IRM001A","Cholesterol","MG_P_100G","34.284753432"
"8405181","08/03/2016 08:45:54 AM","CHOL020493","CCULL","IRM001A","Cholesterol","MG_P_100G","36.090549055"
"8423791","12/03/2016 11:24:06 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","35.091207504"
"8437657","17/03/2016 07:49:56 AM","CHOL020493","CCULL","IRM001A","Cholesterol","MG_P_100G","34.835635937"
"8449791","20/03/2016 03:46:09 PM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","33.72833301"
"8451750","21/03/2016 11:15:20 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","35.464404053"
"8459684","23/03/2016 09:19:11 AM","CHOL020493","CCULL","IRM001A","Cholesterol","MG_P_100G","38.056442847"
"8474712","29/03/2016 06:26:14 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","35.581931683"
"8492771","02/04/2016 10:48:37 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","34.439897276"
"8501644","05/04/2016 12:10:56 PM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","34.571344348"
"8536459","14/04/2016 03:30:13 PM","CHOL020493","BSINGCO","IRM001A","Cholesterol","MG_P_100G","34.993451998"
"8552694","19/04/2016 05:02:20 PM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","34.333429407"
"8558093","21/04/2016 06:47:43 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","38.118290865"
"8577999","27/04/2016 12:49:25 PM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","35.032583391"
"8583161","28/04/2016 11:40:08 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","34.8314188"
"8609322","05/05/2016 12:06:29 PM","CHOL020493","BSINGCO","IRM001A","Cholesterol","MG_P_100G","36.764389542"
"8621861","09/05/2016 02:50:57 PM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","34.637676691"
"8630562","11/05/2016 04:12:11 PM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","34.423067224"
"8644458","16/05/2016 09:12:07 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","35.525566164"
"8656561","19/05/2016 09:07:22 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","34.952565706"
"8666811","22/05/2016 11:35:59 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","35.94558192"
"8693830","30/05/2016 11:49:35 AM","CHOL020493","BSINGCO","IRM001A","Cholesterol","MG_P_100G","35.052231776"
"8716985","06/06/2016 09:05:32 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","34.741192566"
"8724490","08/06/2016 06:45:09 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","34.697371602"
"8749476","15/06/2016 12:45:54 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","33.806913997"
"8761795","18/06/2016 11:36:54 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","34.893286857"
